C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,DAILY_ENTRIES,DAILY_EXITS
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/25/2022,785.0,1813.0
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/26/2022,751.0,1779.0
A006,R079,00-00-00,5 AV/59 ST,NQRW,BMT,05/27/2022,673.0,1377.0
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,05/21/2022,490.0,466.0
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,05/22/2022,393.0,388.0
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,05/23/2022,595.0,501.0
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,05/24/2022,607.0,556.0
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,05/25/2022,617.0,534.0
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,05/26/2022,607.0,503.0
A006,R079,00-00-01,5 AV/59 ST,NQRW,BMT,05/27/2022,513.0,393.0
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,05/21/2022,332.0,195.0
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,05/22/2022,232.0,155.0
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,05/23/2022,410.0,266.0
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,05/24/2022,432.0,294.0
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,05/25/2022,422.0,287.0
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,05/26/2022,419.0,274.0
A006,R079,00-00-02,5 AV/59 ST,NQRW,BMT,05/27/2022,341.0,168.0
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,05/21/2022,275.0,116.0
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,05/22/2022,207.0,121.0
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,05/23/2022,321.0,154.0
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,05/24/2022,327.0,183.0
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,05/25/2022,350.0,169.0
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,05/26/2022,333.0,165.0
A006,R079,00-00-03,5 AV/59 ST,NQRW,BMT,05/27/2022,280.0,126.0
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,05/21/2022,332.0,156.0
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,05/22/2022,258.0,103.0
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,05/23/2022,365.0,162.0
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,05/24/2022,406.0,209.0
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,05/25/2022,437.0,214.0
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,05/26/2022,391.0,217.0
A006,R079,00-00-04,5 AV/59 ST,NQRW,BMT,05/27/2022,316.0,160.0
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,05/21/2022,402.0,235.0
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,05/22/2022,309.0,153.0
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,05/23/2022,439.0,232.0
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,05/24/2022,436.0,281.0
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,05/25/2022,468.0,293.0
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,05/26/2022,384.0,294.0
A006,R079,00-03-00,5 AV/59 ST,NQRW,BMT,05/27/2022,355.0,209.0
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,05/21/2022,533.0,573.0
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,05/22/2022,473.0,368.0
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,05/23/2022,622.0,551.0
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,05/24/2022,639.0,643.0
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,05/25/2022,683.0,664.0
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,05/26/2022,673.0,590.0
A006,R079,00-03-01,5 AV/59 ST,NQRW,BMT,05/27/2022,533.0,488.0
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,05/21/2022,587.0,1224.0
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,05/22/2022,371.0,888.0
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,05/23/2022,826.0,1342.0
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,05/24/2022,962.0,1382.0
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,05/25/2022,938.0,1435.0
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,05/26/2022,879.0,1413.0
A006,R079,00-03-02,5 AV/59 ST,NQRW,BMT,05/27/2022,741.0,1189.0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/21/2022,25.0,0.0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/22/2022,23.0,0.0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/23/2022,17.0,0.0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/24/2022,16.0,0.0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/25/2022,14.0,0.0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/26/2022,18.0,0.0
A007,R079,01-05-00,5 AV/59 ST,NQRW,BMT,05/27/2022,21.0,0.0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,05/21/2022,0.0,1.0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,05/22/2022,0.0,4.0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,05/23/2022,0.0,2.0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,05/24/2022,0.0,1.0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,05/25/2022,0.0,1.0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,05/26/2022,0.0,2.0
A007,R079,01-05-01,5 AV/59 ST,NQRW,BMT,05/27/2022,0.0,3.0
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,05/21/2022,225.0,1340.0
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,05/22/2022,182.0,902.0
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,05/23/2022,205.0,635.0
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,05/24/2022,194.0,672.0
A007,R079,01-06-00,5 AV/59 ST,NQRW,BMT,05/25/2022,232.0,635.0
